App,Category,Rating,Reviews,Viewers,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Word Link,GAE,4.6,216675,30000000,10000000,Free,0,Everyone,Word,01-Aug-18,2.2.7,4.1 and up
Last Day on Earth: Survival,GAE,4.5,2311785,87000000,10000000,Free,0,Teen,Action,01-Aug-18,1.9.3,4.1 and up
ARVEL Strike Force,GAE,4.3,165888,91000000,5000000,Free,0,Teen,Role Playing,31-Jul-18,1.4.0,4.4 and up
Partyasters - Fun Idle Gae,GAE,4.6,541144,63000000,10000000,Free,0,Teen,Arcade,12-Jul-18,1.2.5,5.0 and up
Gri Soul: Dark Fantasy Survival,GAE,4.5,189773,95000000,5000000,Free,0,Teen,Role Playing,18-Jul-18,1.1.1,4.1 and up
DRAGON BALL LEGENDS,GAE,4.6,337752,48000000,5000000,Free,0,Teen,Action,03-Aug-18,1.11.0,6.0 and up
New YAHTZEE® With Buddies Dice Gae,GAE,4.1,42079,93000000,5000000,Free,0,Everyone,Board,05-Jul-18,5.6.5,4.1 and up
Word Crossy - A crossword gae,GAE,4.5,240416,53000000,5000000,Free,0,Everyone,Word,01-Aug-18,2.2.3,4.0.3 and up
LB TAP SPORTS BASEBALL 2018,GAE,4.6,32506,82000000,1000000,Free,0,Everyone,Sports,27-Jun-18,1.2.1,4.2 and up
Hero Hunters,GAE,4.4,70747,99000000,5000000,Free,0,Teen,Action,31-Jul-18,1.7,4.4 and up
Cooking adness - A Chef's Restaurant Gaes,GAE,4.7,358817,49000000,10000000,Free,0,Everyone,Arcade,30-Jul-18,1.2.2,4.1 and up
Ice Crush 2018 - A new Puzzle atching Adventure,GAE,4.6,15403,25000000,1000000,Free,0,Everyone,Casual,02-Aug-18,1.8.1,4.1 and up
erge Dragons!,GAE,4.5,214777,91000000,5000000,Free,0,Everyone,Puzzle,30-Jul-18,3.6.0,4.1 and up
SHADOWGUN LEGENDS,GAE,4.6,100609,52000000,1000000,Free,0,Teen,Action,16-Jul-18,0.5.4,6.0 and up
RULES OF SURVIVAL,GAE,4.2,1343866,56000000,10000000,Free,0,Teen,Action,01-Aug-18,1.180271.184729,4.0 and up
afia City,GAE,4.5,168717,56000000,10000000,Free,0,Mature 17+,Strategy,03-Aug-18,1.3.205,2.3 and up
"Cash, Inc. oney Clicker Gae & Business Adventure",GAE,4.8,549720,85000000,10000000,Free,0,Everyone,Siulation,19-Jul-18,2.1.1.4.0,4.4 and up
Dino War: Rise of Beasts,GAE,4.1,18996,81000000,1000000,Free,0,Teen,Strategy,01-Aug-18,1.5.2,4.1 and up
Tokyo Ghoul: Dark War,GAE,4.3,25094,82000000,1000000,Free,0,Teen,Role Playing,06-Jul-18,1.2.0,4.3 and up
Last Shelter: Survival,GAE,4.4,93033,98000000,5000000,Free,0,Teen,Strategy,04-Aug-18,1.250.078,4.0.3 and up
Guns of Glory,GAE,4,120592,77000000,10000000,Free,0,Everyone 10+,Strategy,31-Jul-18,2.0.2,4.0.3 and up
Lineage 2: Revolution,GAE,4.2,187972,99000000,5000000,Free,0,Teen,Role Playing,11-Jul-18,1.05.20,4.4 and up
Girls' Frontline,GAE,4.2,2055,96000000,100000,Free,0,Teen,Strategy,18-May-18,2.0081_206,4.0.3 and up
Chapters: Interactive Stories,GAE,4.5,73539,96000000,1000000,Free,0,Mature 17+,Role Playing,02-Aug-18,1.3.3,4.3 and up
Honkai Ipact 3rd,GAE,4.7,59017,82000000,1000000,Free,0,Teen,Action,03-Jul-18,2.2.1,4.3 and up
aster of Eternity(OE),GAE,4.2,5829,70000000,100000,Free,0,Teen,Strategy,26-Jul-18,1.8.2,4.4 and up
The Gae of Life,GAE,4.4,18621,63000000,100000,Paid,2.99,Everyone,Board,04-Jul-18,2.1.2,4.4 and up
Clue,GAE,4.6,19922,35000000,100000,Paid,1.99,Everyone 10+,Board,30-Jul-18,2.2.5,5.0 and up
The Roo: Old Sins,GAE,4.9,21119,48000000,100000,Paid,4.99,Everyone,Puzzle,18-Apr-18,1.0.1,4.4 and up
The Escapists,GAE,4.4,7412,84000000,100000,Paid,4.99,Teen,Strategy,26-Apr-18,1.1.0,2.3 and up
Faring Siulator 18,GAE,4.5,18125,15000000,100000,Paid,4.99,Everyone,Siulation;Education,09-Jul-18,Varies with device,4.4 and up
RollerCoaster Tycoon® Classic,GAE,4.6,10795,69000000,100000,Paid,5.99,Everyone,Siulation,21-Dec-17,1.2.1.1712080,4.0.3 and up
Call of Duty:Black Ops Zobies,GAE,4.2,13004,46000000,100000,Paid,6.99,Teen,Action,20-Dec-16,1.0.11,2.3.3 and up
Star Wars ™: DIRTY,GAE,4.5,38207,15000000,100000,Paid,9.99,Teen,Role Playing,19-Oct-15,1.0.6,4.1 and up
onuent Valley 2,GAE,4.6,9394,33000000,100000,Paid,4.99,Everyone,Puzzle,30-Nov-17,1.2.9,4.4 and up
DRAGON BALL LEGENDS,GAE,4.6,337913,48000000,5000000,Free,0,Teen,Action,03-Aug-18,1.11.0,6.0 and up
ROBLOX,GAE,4.5,4449882,67000000,100000000,Free,0,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Candy Crush Saga,GAE,4.4,22429716,74000000,500000000,Free,0,Everyone,Casual,05-Jul-18,1.129.0.2,4.1 and up
Angry Birds 2,GAE,4.6,3883589,57000000,100000000,Free,0,Everyone,Casual,26-Jul-18,2.21.1,4.1 and up
8 Ball Pool,GAE,4.5,14200550,52000000,100000000,Free,0,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Fallout Shelter,GAE,4.6,2719142,25000000,10000000,Free,0,Teen,Siulation,11-Jun-18,1.13.12,4.1 and up
PUBG OBILE,GAE,4.4,3716278,36000000,50000000,Free,0,Teen,Action,24-Jul-18,0.7.0,4.3 and up
The Sis™ FreePlay,GAE,4.3,931595,31000000,10000000,Free,0,Teen,Siulation,16-Jul-18,5.39.1,4.0.3 and up
ARVEL Strike Force,GAE,4.3,165928,91000000,5000000,Free,0,Teen,Role Playing,31-Jul-18,1.4.0,4.4 and up
ARVEL Contest of Chapions,GAE,4.3,2468063,92000000,50000000,Free,0,Teen,Action,30-Jul-18,19.1.0,4.0.3 and up
Jurassic World™ Alive,GAE,4.3,309176,70000000,5000000,Free,0,Everyone 10+,Siulation,02-Aug-18,1.3.15,4.4 and up
Choices: Stories You Play,GAE,4.6,807338,93000000,10000000,Free,0,Teen,Siulation,30-Jul-18,2.3.5,4.0.3 and up
Solitaire TriPeaks,GAE,4.5,446434,52000000,10000000,Free,0,Everyone,Card,01-Aug-18,4.6.2.46103,4.0.3 and up
erge Dragons!,GAE,4.5,214819,91000000,5000000,Free,0,Everyone,Puzzle,30-Jul-18,3.6.0,4.1 and up
The Walking Dead: Road to Survival,GAE,4.2,522466,37000000,10000000,Free,0,Mature 17+,Role Playing,19-Jun-18,12.0.4.62276,4.0.3 and up
Hustle Castle: Fantasy Kingdo,GAE,4.7,584126,64000000,10000000,Free,0,Everyone 10+,Role Playing,27-Jul-18,1.5.4,4.1 and up
ight & agic: Eleental Guardians,GAE,4.3,32551,35000000,500000,Free,0,Mature 17+,Role Playing,12-Jul-18,1.93,4.4 and up
Gae of Thrones: Conquest™,GAE,4,90218,97000000,1000000,Free,0,Teen,Strategy,03-Aug-18,1.8.225278,6.0 and up
Love Nikki-Dress UP Queen,GAE,4.4,212524,93000000,5000000,Free,0,Everyone,Role Playing,24-Jul-18,3.0.0,4.0.3 and up
Suoners War,GAE,4.3,2045554,28000000,50000000,Free,0,Teen,Role Playing,30-Jul-18,4.0.1,4.0.3 and up
FINAL FANTASY BRAVE EXVIUS,GAE,4.6,745684,83000000,5000000,Free,0,Teen,Role Playing,17-Jul-18,3.0.2,4.0.3 and up
Idle Heroes,GAE,4.7,416540,99000000,10000000,Free,0,Everyone 10+,Role Playing,30-May-18,1.14.0,2.3 and up
Fate/Grand Order (English),GAE,4.4,16601,55000000,500000,Free,0,Teen,Role Playing,26-Jul-18,1.18.0,4.0 and up
Honkai Ipact 3rd,GAE,4.7,59017,82000000,1000000,Free,0,Teen,Action,03-Jul-18,2.2.1,4.3 and up
Lords obile: Battle of the Epires - Strategy RPG,GAE,4.4,3057481,14000000,50000000,Free,0,Teen,Strategy,26-Jul-18,1.76,2.3 and up
War and Order,GAE,4.3,224514,81000000,5000000,Free,0,Teen,Strategy,18-Jul-18,1.1.8,4.0.3 and up
Candy Crush Saga,GAE,4.4,22430188,74000000,500000000,Free,0,Everyone,Casual,05-Jul-18,1.129.0.2,4.1 and up
ROBLOX,GAE,4.5,4449910,67000000,100000000,Free,0,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
8 Ball Pool,GAE,4.5,14201891,52000000,100000000,Free,0,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Subway Surfers,GAE,4.5,27725352,76000000,1000000000,Free,0,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Candy Crush Soda Saga,GAE,4.4,6199095,67000000,100000000,Free,0,Everyone,Casual,10-Jul-18,1.118.4,4.1 and up
Zobie Hunter King,GAE,4.3,10493,50000000,1000000,Free,0,Mature 17+,Action,01-Aug-18,1.0.8,2.3 and up
Bubble Shooter,GAE,4.5,148945,46000000,10000000,Free,0,Everyone,Casual,17-Jul-18,1.20.1,4.0.3 and up
Clash Royale,GAE,4.6,23136735,97000000,100000000,Free,0,Everyone 10+,Strategy,27-Jun-18,2.3.2,4.1 and up
Clash of Clans,GAE,4.6,44893888,98000000,100000000,Free,0,Everyone 10+,Strategy,15-Jul-18,10.322.16,4.1 and up
Far Heroes Saga,GAE,4.4,7614415,70000000,100000000,Free,0,Everyone,Casual,26-Jul-18,5.1.8,2.3 and up
Plants vs. Zobies FREE,GAE,4.4,4067651,69000000,100000000,Free,0,Everyone 10+,Strategy,06-Jul-18,2.2.00,4.1 and up
Word Search,GAE,4.7,295576,3900000,10000000,Free,0,Everyone,Word,06-Jun-18,1.1.3,3.0 and up
Block Puzzle,GAE,4.6,59907,7800000,5000000,Free,0,Everyone,Puzzle,06-Mar-18,2.9,2.3 and up
Super Ji Jup - pixel 3d,GAE,4.5,10460,18000000,1000000,Free,0,Everyone,Arcade,11-Jul-18,2.2.3181,4.0 and up
Pou,GAE,4.3,10486018,24000000,500000000,Free,0,Everyone,Casual,25-May-18,1.4.77,4.0 and up
Teple Run 2,GAE,4.3,8119151,62000000,500000000,Free,0,Everyone,Action,05-Jul-18,1.49.1,4.0 and up
Flow Free,GAE,4.3,1295625,11000000,100000000,Free,0,Everyone,Puzzle,11-Apr-18,4,4.1 and up
Wordscapes,GAE,4.8,230849,87000000,10000000,Free,0,Everyone,Word,02-Aug-18,1.0.47,4.1 and up
y Talking Angela,GAE,4.5,9883367,99000000,100000000,Free,0,Everyone,Casual,03-Jul-18,3.7.2.51,4.1 and up
Cooking Fever,GAE,4.5,3198176,82000000,100000000,Free,0,Everyone,Arcade,12-Jul-18,2.8.0,4.0.3 and up
Yes day,GAE,4.5,10055521,94000000,100000000,Free,0,Everyone,Casual,28-Jun-18,1_39_93,4.0.3 and up
Score! Hero,GAE,4.6,5419676,96000000,100000000,Free,0,Everyone,Sports,13-Jun-18,1.751,4.4 and up
Zobie Catchers,GAE,4.7,990723,75000000,10000000,Free,0,Everyone,Action,24-May-18,1.0.27,4.1 and up
Jewels Star: OZ adventure,GAE,4.5,21892,14000000,1000000,Free,0,Everyone,Puzzle,29-Dec-17,1.3,4.0 and up
Granny,GAE,4.5,1138239,59000000,50000000,Free,0,Teen,Arcade,29-May-18,1.4.0.1,4.0 and up
Drea League Soccer 2018,GAE,4.6,9883806,74000000,100000000,Free,0,Everyone,Sports,16-Jul-18,5.064,4.4 and up
Sweet Fruit Candy,GAE,4.5,197540,29000000,10000000,Free,0,Everyone,Puzzle,16-Jul-18,79,4.1 and up
Fruits Bob,GAE,4.4,74695,17000000,10000000,Free,0,Everyone,Casual,06-Jul-18,3.3.3179,4.0.3 and up
Angry Birds Classic,GAE,4.4,5566889,97000000,100000000,Free,0,Everyone,Arcade,24-May-18,7.9.3,4.1 and up
Talking To Gold Run,GAE,4.6,2698882,78000000,100000000,Free,0,Everyone,Action,31-Jul-18,2.8.2.59,4.1 and up
Hill Clib Racing,GAE,4.4,8923818,63000000,100000000,Free,0,Everyone,Racing,02-Jul-18,1.37.2,4.2 and up
Pixel Art: Color by Nuber Gae,GAE,4.7,1125438,25000000,10000000,Free,0,Everyone,Puzzle,17-Jul-18,3.9.2,4.3 and up
Shoot Bubble - Fruit Splash,GAE,4.6,29445,29000000,5000000,Free,0,Everyone,Casual,11-May-18,14,4.0.3 and up
Rider,GAE,4.5,655145,72000000,10000000,Free,0,Teen,Arcade,17-Jul-17,1.2.1,4.0.3 and up
Garena Free Fire,GAE,4.5,5476569,53000000,100000000,Free,0,Teen,Action,03-Aug-18,1.21.0,4.0.3 and up
Subway Surfers,GAE,4.5,27725352,76000000,1000000000,Free,0,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Helix Jup,GAE,4.2,1500999,33000000,100000000,Free,0,Everyone,Action,09-Apr-18,1.0.6,4.1 and up
Crossy Road,GAE,4.5,4230886,60000000,100000000,Free,0,Everyone,Action,01-Aug-18,3.1.0,5.0 and up
Teple Run 2,GAE,4.3,8119154,62000000,500000000,Free,0,Everyone,Action,05-Jul-18,1.49.1,4.0 and up
Talking To Gold Run,GAE,4.6,2698889,78000000,100000000,Free,0,Everyone,Action,31-Jul-18,2.8.2.59,4.1 and up
Zobie Catchers,GAE,4.7,990663,75000000,10000000,Free,0,Everyone,Action,24-May-18,1.0.27,4.1 and up
Swap Attack,GAE,4.4,2119218,70000000,50000000,Free,0,Everyone 10+,Action,29-Jun-18,3.0.1,4.1 and up
Earn to Die 2,GAE,4.6,1327265,99000000,50000000,Free,0,Teen,Racing,12-Apr-17,1.3,2.3.3 and up
iraculous Ladybug & Cat Noir - The Official Gae,GAE,4.5,184210,99000000,10000000,Free,0,Everyone,Action,30-Jul-18,1.0.6,4.4 and up
Hungry Shark World,GAE,4.5,1242855,27000000,50000000,Free,0,Teen,Action,18-Jul-18,3.0.0,4.2 and up
Dude Perfect 2,GAE,4.5,401425,70000000,10000000,Free,0,Everyone,Action,12-Apr-17,1.6.1,4.0.3 and up
Shadow Fight 2,GAE,4.6,10979062,88000000,100000000,Free,0,Everyone 10+,Action,02-Jul-18,1.9.38,3.0 and up
Alto's Adventure,GAE,4.6,515657,63000000,10000000,Free,0,Everyone,Action,05-Jun-18,1.7.1,4.0 and up
DEER HUNTER 2018,GAE,4.3,955656,82000000,10000000,Free,0,Teen,Action,26-Jun-18,5.1.2,3.0 and up
DRAGON BALL LEGENDS,GAE,4.6,337913,48000000,5000000,Free,0,Teen,Action,03-Aug-18,1.11.0,6.0 and up
Cover Fire: offline shooting gaes for free,GAE,4.7,725897,31000000,10000000,Free,0,Teen,Action,03-Aug-18,1.8.20,4.1 and up
Anger of stick 5 : zobie,GAE,4.5,549039,23000000,50000000,Free,0,Teen,Action,03-Aug-18,1.1.5,2.3 and up
Soul Knight,GAE,4.7,292164,59000000,10000000,Free,0,Everyone 10+,Action,01-Aug-18,1.8.4,4.1 and up
ajor ayhe,GAE,4.6,520962,39000000,10000000,Free,0,Teen,Action,28-Jun-17,108,4.0 and up
DINO HUNTER: DEADLY SHORES,GAE,4.4,1381820,54000000,10000000,Free,0,Teen,Action,14-Mar-17,3.1.1,3.0 and up
Strawberry Shortcake BerryRush,GAE,4.3,525517,48000000,10000000,Free,0,Everyone,Action;Action & Adventure,15-Oct-17,1.2.3,2.3 and up
Power Rangers Dino Charge,GAE,4.3,194969,30000000,10000000,Free,0,Everyone 10+,Action,29-Jan-18,1.4.0,4.1 and up
Zobie Hunter: Post Apocalypse Survival Gaes,GAE,4.4,327599,66000000,10000000,Free,0,Teen,Action,28-Jul-17,2.4.2,2.3.3 and up
Agar.io,GAE,4.2,3816799,32000000,100000000,Free,0,Everyone,Action,23-Jul-18,2.2.8,4.0.3 and up
Zobie Hunter King,GAE,4.3,10538,50000000,1000000,Free,0,Mature 17+,Action,01-Aug-18,1.0.8,2.3 and up
Garena Free Fire,GAE,4.5,5476569,53000000,100000000,Free,0,Teen,Action,03-Aug-18,1.21.0,4.0.3 and up
Battlelands Royale,GAE,4.4,105620,61000000,1000000,Free,0,Everyone 10+,Action,16-Jul-18,0.5.8,4.1 and up
Once Upon a Tower,GAE,4.7,37139,49000000,1000000,Free,0,Everyone 10+,Action,24-Jan-18,8,4.1 and up
TEKKEN™,GAE,4.2,147791,38000000,5000000,Free,0,Teen,Action,26-Jul-18,1.3,5.0 and up
diep.io,GAE,4.1,347883,20000000,10000000,Free,0,Everyone,Action,16-Mar-18,1.2.7,4.0.3 and up
Dragon Hills,GAE,4.5,354373,66000000,10000000,Free,0,Everyone 10+,Action,12-Oct-17,1.2.7,4.1 and up
Bus Rush: Subway Edition,GAE,4.1,753043,57000000,100000000,Free,0,Teen,Action,01-Aug-18,1.15.2,4.0.3 and up
DC Super Hero Girls™,GAE,4.3,43055,95000000,5000000,Free,0,Everyone,Action;Action & Adventure,29-Jun-18,2.8.0,4.0 and up
Runner 3d like,GAE,4.5,559,32000000,100000,Free,0,Everyone 10+,Action,03-Aug-18,1.0.7,4.0 and up
War Robots,GAE,4.6,3073251,33000000,50000000,Free,0,Everyone 10+,Action,25-Jul-18,4.1.1,4.1 and up
Dinosaur Siulator: Dino World,GAE,4,26649,66000000,5000000,Free,0,Teen,Action,05-Aug-18,1.2,4.2 and up
GUNSHIP BATTLE: Helicopter 3D,GAE,4.3,2151039,75000000,50000000,Free,0,Teen,Action,01-Aug-18,2.6.61,4.0.3 and up
Quiz: Logo gae,GAE,4.5,306764,29000000,10000000,Free,0,Everyone,Trivia,03-Aug-18,6.2,4.0.3 and up
Candy Crush Saga,GAE,4.4,22430188,74000000,500000000,Free,0,Everyone,Casual,05-Jul-18,1.129.0.2,4.1 and up
Plants vs. Zobies FREE,GAE,4.4,4067651,69000000,100000000,Free,0,Everyone 10+,Strategy,06-Jul-18,2.2.00,4.1 and up
Block Puzzle,GAE,4.6,59907,7800000,5000000,Free,0,Everyone,Puzzle,06-Mar-18,2.9,2.3 and up
Helix Jup,GAE,4.2,1500622,33000000,100000000,Free,0,Everyone,Action,09-Apr-18,1.0.6,4.1 and up
8 Ball Pool,GAE,4.5,14201604,52000000,100000000,Free,0,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Jewels Legend - atch 3 Puzzle,GAE,4.6,280098,50000000,10000000,Free,0,Everyone,Arcade,20-Jul-18,2.11.2,4.0.3 and up
Bubble Shooter,GAE,4.5,148990,46000000,10000000,Free,0,Everyone,Casual,17-Jul-18,1.20.1,4.0.3 and up
Solitaire,GAE,4.7,154264,12000000,10000000,Free,0,Everyone,Card,08-Jun-18,Varies with device,Varies with device
Bubble Shooter Genies,GAE,4.5,26985,41000000,5000000,Free,0,Everyone,Casual,04-Jun-18,1.9.1,4.0.3 and up
Blosso Blast Saga,GAE,4.5,1125438,63000000,10000000,Free,0,Everyone,Casual,05-Jul-18,57.0.8,4.0.3 and up
Traffic Racer,GAE,4.5,5387781,53000000,100000000,Free,0,Everyone,Racing,27-Feb-18,2.5,4.1 and up
Hill Clib Racing,GAE,4.4,8923847,63000000,100000000,Free,0,Everyone,Racing,02-Jul-18,1.37.2,4.2 and up
Earn to Die 2,GAE,4.6,1327269,99000000,50000000,Free,0,Teen,Racing,12-Apr-17,1.3,2.3.3 and up
Candy Bob,GAE,4.4,42145,20000000,10000000,Free,0,Everyone,Casual;Brain Gaes,04-Jul-18,2.9.3181,4.0.3 and up
Flow Free,GAE,4.3,1295625,11000000,100000000,Free,0,Everyone,Puzzle,11-Apr-18,4,4.1 and up
Zobie Catchers,GAE,4.7,990796,75000000,10000000,Free,0,Everyone,Action,24-May-18,1.0.27,4.1 and up
Ges or jewels ?,GAE,4.7,171448,13000000,10000000,Free,0,Teen,Puzzle,03-Aug-18,1.0.109,4.0 and up
Angry Birds Rio,GAE,4.4,2610680,46000000,100000000,Free,0,Everyone,Arcade,03-Jul-18,2.6.9,4.1 and up
Candy Crush Jelly Saga,GAE,4.3,1300619,78000000,50000000,Free,0,Everyone,Puzzle,20-Jul-18,2.1.10,4.0 and up
Cut the Rope FULL FREE,GAE,4.4,2123793,49000000,100000000,Free,0,Everyone,Puzzle,05-Jul-18,3.7.2,4.1 and up
Jewels Star: OZ adventure,GAE,4.5,21892,14000000,1000000,Free,0,Everyone,Puzzle,29-Dec-17,1.3,4.0 and up
Hungry Shark Evolution,GAE,4.5,6074627,100000000,100000000,Free,0,Teen,Arcade,25-Jul-18,6.0.0,4.1 and up
Angry Birds Classic,GAE,4.4,5566908,97000000,100000000,Free,0,Everyone,Arcade,24-May-18,7.9.3,4.1 and up
Jewels classic Prince,GAE,4.4,47644,15000000,5000000,Free,0,Everyone,Puzzle,15-Jun-18,2.4.2,4.0 and up
Fruit Block - Puzzle Legend,GAE,4.6,125647,33000000,10000000,Free,0,Everyone,Casual,23-Jul-18,60,4.1 and up
Swap Attack,GAE,4.4,2119235,70000000,50000000,Free,0,Everyone 10+,Action,29-Jun-18,3.0.1,4.1 and up
1LINE – One Line with One Touch,GAE,4.6,214878,10000000,10000000,Free,0,Everyone,Board,03-Aug-18,2.0.4,4.1 and up
Stick War: Legacy,GAE,4.6,811040,77000000,10000000,Free,0,Teen,Strategy,10-May-18,1.7.04,4.4 and up
Block Puzzle Classic Legend !,GAE,4.2,17044,4900000,5000000,Free,0,Everyone,Puzzle,13-Apr-18,2.9,2.3.3 and up
Pixel Art: Color by Nuber Gae,GAE,4.7,1125566,25000000,10000000,Free,0,Everyone,Puzzle,17-Jul-18,3.9.2,4.3 and up
Score! Hero,GAE,4.6,5419676,96000000,100000000,Free,0,Everyone,Sports,13-Jun-18,1.751,4.4 and up
Super Jabber Jup 3,GAE,4.3,34494,23000000,5000000,Free,0,Everyone 10+,Arcade,11-Jul-18,2.5.3182,2.3 and up
Rush,GAE,4.6,260651,51000000,10000000,Free,0,Everyone,Arcade,14-Feb-18,1.1,4.0 and up
Jetpack Joyride,GAE,4.4,4638163,96000000,100000000,Free,0,Everyone 10+,Arcade,19-Jul-18,1.10.12,4.1 and up
Far Heroes Saga,GAE,4.4,7614407,70000000,100000000,Free,0,Everyone,Casual,26-Jul-18,5.1.8,2.3 and up
Racing in Car 2,GAE,4.3,234110,38000000,50000000,Free,0,Everyone,Racing,22-Nov-16,1,2.3.3 and up
Dog Run - Pet Dog Siulator,GAE,4.7,48615,24000000,10000000,Free,0,Everyone,Siulation;Action & Adventure,22-May-18,1.4.12,4.1 and up
Candy Bob,FAILY,4.4,42145,20000000,10000000,Free,0,Everyone,Casual;Brain Gaes,04-Jul-18,2.9.3181,4.0.3 and up
ROBLOX,FAILY,4.5,4449910,67000000,100000000,Free,0,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Jewels Crush- atch 3 Puzzle,FAILY,4.4,14774,19000000,1000000,Free,0,Everyone,Casual;Brain Gaes,23-Jul-18,1.9.3901,4.0.3 and up
Coloring & Learn,FAILY,4.4,12753,51000000,5000000,Free,0,Everyone,Educational;Creativity,17-Jul-18,1.49,4.0.3 and up
ahjong,FAILY,4.5,33983,22000000,5000000,Free,0,Everyone,Puzzle;Brain Gaes,02-Aug-18,1.24.3181,4.0.3 and up
Super ABC! Learning gaes for kids! Preschool apps,FAILY,4.6,20267,46000000,1000000,Free,0,Everyone,Educational;Education,16-Jul-18,1.1.6.7,4.1 and up
Toy Pop Cubes,FAILY,4.5,5761,21000000,1000000,Free,0,Everyone,Casual;Brain Gaes,04-Jul-18,1.8.3181,4.0.3 and up
Educational Gaes 4 Kids,FAILY,4.3,11618,39000000,5000000,Free,0,Everyone,Educational;Education,03-Apr-18,2.4,4.1 and up
Candy Pop Story,FAILY,4.7,12948,23000000,1000000,Free,0,Everyone,Casual;Brain Gaes,24-May-18,2.0.3165,2.3 and up
Solitaire,FAILY,4.4,685,26000000,100000,Free,0,Everyone,Card;Brain Gaes,16-Jul-18,1.7.101,4.1 and up
Princess Coloring Book,FAILY,4.5,9779,39000000,5000000,Free,0,Everyone,Education;Creativity,25-Feb-18,1.2.8,4.0 and up
Hello Kitty Nail Salon,FAILY,4.2,369378,24000000,50000000,Free,0,Everyone,Casual;Pretend Play,17-Apr-18,1.5,4.1 and up
Candy Sash,FAILY,4.5,11436,15000000,1000000,Free,0,Everyone,Casual;Brain Gaes,17-Apr-18,2.2.3169,4.0.3 and up
Happy Fruits Bob - Cube Blast,FAILY,4.5,2150,20000000,500000,Free,0,Everyone,Casual;Brain Gaes,01-Feb-18,1.0.3122,4.0.3 and up
Dog Run - Pet Dog Siulator,FAILY,4.7,48615,24000000,10000000,Free,0,Everyone,Siulation;Action & Adventure,22-May-18,1.4.12,4.1 and up
Princess Adventures Puzzles,FAILY,4.4,382,44000000,500000,Free,0,Everyone,Education;Creativity,01-Aug-18,1.1.0,2.3 and up
Kids Educational Gae 3 Free,FAILY,4.3,24936,38000000,5000000,Free,0,Everyone,Educational;Education,16-May-18,3.1,4.1 and up
Puzzle Kids - Anials Shapes and Jigsaw Puzzles,FAILY,4.6,1109,52000000,1000000,Free,0,Everyone,Educational;Brain Gaes,18-Jul-18,1.0.6,4.1 and up
Coloring book oana,FAILY,3.9,974,14000000,500000,Free,0,Everyone,Art & Design;Pretend Play,15-Jan-18,2.0.0,4.0.3 and up
Baby Panda Care,FAILY,4.2,108795,49000000,10000000,Free,0,Everyone,Educational;Pretend Play,15-Jun-18,8.25.10.00,4.0.3 and up
Kids Educational :All in One,FAILY,4.5,1455,8900000,500000,Free,0,Everyone,Education;Education,01-Feb-18,2.7,2.3 and up
Toca Kitchen 2,FAILY,4.5,1014822,56000000,50000000,Free,0,Everyone,Educational;Pretend Play,29-Jun-17,1.2.3-play,4.1 and up
PJ asks: oonlight Heroes,FAILY,4.4,86961,99000000,10000000,Free,0,Everyone,Casual;Action & Adventure,05-Jun-18,2.0.1,4.0.3 and up
Learn To Draw Glow Flower,FAILY,4.4,7320,10000000,1000000,Free,0,Everyone,Entertainent;Education,07-Jul-17,1.0.1,4.0.3 and up
"No. Color - Color by Nuber, Nuber Coloring",FAILY,4.8,269194,6900000,10000000,Free,0,Everyone,Entertainent;Brain Gaes,03-Aug-18,Varies with device,Varies with device
Bubble Shooter,FAILY,4.4,59843,20000000,5000000,Free,0,Everyone,Puzzle;Brain Gaes,09-Jan-18,2.3.3122,2.3 and up
Draw.ly - Color by Nuber Pixel Art Coloring,FAILY,4.4,18616,10000000,1000000,Free,0,Everyone,Casual;Education,05-Aug-18,1.0.9,4.0.3 and up
Baby puzzles,FAILY,4.3,11950,19000000,5000000,Free,0,Everyone,Educational;Education,12-Jul-18,6.1,4.0.3 and up
Garden Fruit Legend,FAILY,4.6,4289,33000000,500000,Free,0,Everyone,Casual;Brain Gaes,31-Jul-18,3.5.3183,4.0.3 and up
Barbie™ Fashion Closet,FAILY,4.1,68286,85000000,10000000,Free,0,Everyone,Casual;Creativity,30-Jul-18,1.3.7,4.1 and up
Candy Day,FAILY,4.5,11716,48000000,1000000,Free,0,Everyone,Casual;Brain Gaes,03-Aug-18,8.4.3180,4.0 and up
Learn To Draw Glow Princess,FAILY,4.5,3323,9600000,1000000,Free,0,Everyone,Casual;Pretend Play,14-Jul-17,1.0.1,4.0.3 and up
Barbie agical Fashion,FAILY,4,328619,15000000,10000000,Free,0,Everyone,Casual;Creativity,06-Oct-17,2.2,4.1 and up
Piano Kids - usic & Songs,FAILY,4.6,46741,50000000,10000000,Free,0,Everyone,usic;usic & Video,03-Aug-18,1.73,4.0.3 and up
